publish_day,num_videos,avg_views,avg_likes
Monday,6177,1991127.6100048567,57804.795046138905
Tuesday,6786,2053956.2360742704,65554.98261125847
Wednesday,6762,2017862.0508725229,59624.60943507838
Thursday,6950,2315076.8094964027,76665.00330935251
Friday,7002,3373693.424450157,110423.50185661239
Saturday,3593,1729032.7687169497,53358.631784024496
Sunday,3679,2953205.9736341396,91961.01141614569
